기능 ID,대분류,소분류,기능명,사용자 유형,기능 상세(설명),입력,출력,예외/에러,우선순위,상태,비고
USR-003,회원정보,활동,깃허브 활동 내역 조회,"학생, 교직원, 관리자","- 깃허브 커밋, 푸시, 풀리퀘스트 등 수집 가능한 정보 조회",-,- 깃허브 활동 내역,"- 깃허브 계정 정보 오류 시 서버 오류 처리.
- 활동 내역 중 서버에서 예상하지 못한 오류 발생 시 서버 오류 처리.",,완료,
USR-004,회원정보,활동,작성한 글 조회,"학생, 교직원, 관리자",- 작성한 글 조회.,-,- 작성한 글,- 작성한 글이 없을 시 빈 배열 전송.,,완료,
USR-005,회원정보,활동,작성한 댓글 조회,"학생, 교직원, 관리자",- 작성한 댓글 조회.,-,- 작성한 댓글,"- 작성한 댓글이 없을 시 빈 배열 전송.
- 원본 게시글이 삭제된 경우 '삭제된 게시글'로 표기 반환.",,완료,
USR-006,회원정보,활동,즐겨찾기 조회,"학생, 교직원, 관리자","- 팀 모집 게시글, 커뮤니티 게시글 즐겨찾기 조회.",-,- 즐겨찾기한 게시글,"- 즐겨찾기한 게시글이 없을 시 빈 배열 전송.
- 원본 게시글이 삭제된 경우 '삭제된 게시글'로 반환.",,완료,
USR-007,회원정보,프로필,프로필 조회,"게스트, 학생, 교직원, 관리자","- 이름, 학번/사번, 소개, 포인트, 칭호, GitHub 연동 정보 등 조회.",- userId,- 사용자 프로필 정보,- 존재하지 않는 사용자 접근 시 오류 반환.,,완료,
USR-008,회원정보,프로필,프로필 수정,"학생, 교직원, 관리자","- 이름, 소개, 프로필 이미지 수정.
- 이름 50자 제한.","- 이름, 소개, 프로필 이미지 URL",-,"- 이름 50자 초과 시 오류 반환.
- 본인 외 수정 시 권한 오류 반환.",,완료,
USR-009,회원정보,포인트,포인트 내역 조회,"학생, 교직원, 관리자",- 포인트 획득/차감 이력 목록 조회.,-,- 포인트 내역 목록,- 내역이 없을 시 빈 배열 전송.,,완료,
USR-010,회원정보,지원 내역,지원 내역 조회,"학생, 교직원, 관리자",- 팀 모집글 지원 이력 목록 조회. 상태 필터 지원.,- 상태 필터 (선택),- 지원 내역 목록,- 내역이 없을 시 빈 배열 전송.,,완료,
TRM-001,약관,약관 조회,활성 약관 목록 조회,"게스트, 학생, 교직원, 관리자",- 현재 활성화된 전체 약관 목록(버전 포함) 조회.,-,- 약관 목록,-,,완료,
TRM-002,약관,약관 동의,약관 동의 처리,"학생, 교직원, 관리자","- 복수 약관 ID에 대한 동의 처리.
- 필수 약관 미동의 시 서비스 이용 제한.",- 약관 ID 목록,-,"- 이미 동의한 약관 재동의 시 오류 반환.
- 존재하지 않는 약관 ID 오류 반환.",,완료,
CLG-001,챌린지,도전과제,깃허브 활동내역 챌린지 달성,"학생, 교직원, 관리자","- 깃허브 활동 내역을 조건에 따라 평가하여 수치로 부여.
- 티어 필터로 특정 난이도 챌린지만 조회 가능.",-,- 조건에 따른 도전과제 달성률,- 연결된 깃허브 정보가 없을 경우 달성률 0% 처리 후 반환.,,완료,
TAK-001,커뮤니티,게시글,게시글 작성,"학생, 교직원, 관리자","- 카테고리별 게시글을 작성할 수 있음.
- HTML 에디터 콘텐츠, 태그 지원.",- HTML 게시글 값,- 작성된 게시글,"- 게시글 작성 권한이 없을 경우 권한 부족 처리.
- HTML 값에 게시글 작성 이외 스크립트 자동 필터링.",,완료,
TAK-002,커뮤니티,게시글,댓글,"학생, 교직원, 관리자","- 게시글에 댓글을 작성할 수 있음.
- 댓글 수정 및 삭제 가능.",- 댓글 내용,"- 게시글 정보, 댓글 내용",- 게시글이 존재하지 않을 경우 404 오류 반환.,,완료,
TAK-003,커뮤니티,게시글,즐겨찾기,"학생, 교직원, 관리자",- 게시글을 즐겨찾기에 저장할 수 있음.,-,-,- 게시글이 존재하지 않을 경우 404 오류 반환.,,완료,
TAK-004,커뮤니티,게시글,신고,"학생, 교직원, 관리자","- 게시글을 신고할 수 있음.
- 조건에 의하여 일정 신고수를 받으면 게시글 비공개 처리 후 관리자 검토 후 재게시.","- 게시글 정보
- 신고 사유",-,- 게시글이 존재하지 않을 경우 404 오류 반환.,,완료,
TAK-005,커뮤니티,게시글,좋아요,"학생, 교직원, 관리자",- 게시글을 추천할 수 있음.,- 게시글 정보,- 게시글 정보,- 게시글이 존재하지 않을 경우 404 오류 반환.,,완료,
TAK-006,커뮤니티,게시글,게시글 조회,"학생, 교직원, 관리자","- 게시글을 조회할 수 있음.
- 게시글 목록 및 상세 조회. 고정글 별도 반환.",- 게시글 정보,- 게시글 내용,"- 게시글이 존재하지 않을 경우 404 오류 반환.
- 게시글 접근 중 오류 발생(네트워크) 시 서버 오류 처리.",,완료,
TAK-007,커뮤니티,게시글,게시글 수정,"학생, 교직원, 관리자","- 본인이 작성한 게시글의 제목, 내용, 태그를 수정할 수 있음.","- 제목, 내용, 태그",-,"- 본인 외 수정 시 권한 부족 처리.
- 존재하지 않는 게시글 수정 시 오류 반환.",,완료,
TAK-008,커뮤니티,게시글,게시글 삭제,"학생, 교직원, 관리자",- 본인이 작성한 게시글을 삭제할 수 있음.,-,-,- 본인 또는 관리자 외 삭제 시 권한 부족 처리.,,완료,
TBD-001,팀게시판,모집공고,공고 조회,"학생, 교직원, 관리자",- 모집 공고를 조회할 수 있음.,- 공고 정보,- 공고 내용,"- 공고 조회 불가능할 경우 권한 부족 처리.
- 오류 발생 시 서버 내부 오류 처리.",,완료,
TBD-002,팀게시판,모집공고,공고 작성,"학생, 교직원, 관리자",- 모집 공고를 작성할 수 있음.,- 공고 내용,-,"- 공고 작성 권한 부족 시 권한 부족 처리.
- 내용 작성 조건 미충족 시 게시글 미등록.",,완료,
TBD-003,팀게시판,모집공고,팀 별 모집공고 조회,"학생, 교직원, 관리자",- 각 팀 상세페이지에 접속하여 공고를 확인할 수 있음.,- 팀 정보,"- 팀 소개 내용, 공고 내용",- 조회가 불가능한 경우 권한 부족 처리.,,완료,
TBD-004,팀게시판,모집공고,공고 게시글 조회,"학생, 교직원, 관리자",- 공고 상세페이지에 접근하여 상세한 내용을 확인할 수 있음.,- 공고 정보,- 공고 상세 내용,- 조회가 불가능한 경우 권한 부족 처리.,,완료,
TBD-005,팀게시판,모집공고,공고 게시글 댓글 작성,"학생, 교직원, 관리자",- 공고 상세페이지에 댓글을 작성할 수 있음.,- 공고 정보,-,- 작성이 불가능한 경우 권한 부족 처리.,,완료,
TBD-006,팀게시판,모집공고,공고 지원,"학생, 교직원, 관리자",- 공고 상세페이지에서 지원할 수 있음.,- 공고 정보,- 지원 처리 결과,- 지원 처리 불가 시 사유 반환.,,완료,
TBD-007,팀게시판,모집공고,공고 수정,"학생, 교직원, 관리자",- 본인이 작성한 모집 공고를 수정할 수 있음.,- 공고 내용,-,- 본인 외 수정 시 권한 부족 처리.,,완료,
TBD-008,팀게시판,모집공고,공고 삭제,"학생, 교직원, 관리자",- 본인이 작성한 모집 공고를 삭제할 수 있음.,-,-,- 본인 외 삭제 시 권한 부족 처리.,,완료,
TBD-009,팀게시판,모집공고,공고 상태 변경,"학생, 교직원, 관리자",- 모집 공고 상태(모집 중 → 마감 등)를 변경할 수 있음.,- 상태 정보,-,- 팀 리더 외 상태 변경 시 권한 부족 처리.,,완료,
TBD-010,팀게시판,지원 관리,지원 목록 조회 및 심사,"학생, 교직원, 관리자","- 지원 목록을 조회하고 개별 지원에 대해 수락·거절 처리 가능.
- 수락 시 자동으로 팀 멤버 등록.",- 지원 정보,- 지원 목록,"- 팀 리더 외 심사 시 권한 부족 처리.
- 이미 처리된 지원 재처리 시 오류 반환.",,완료,
TBD-011,팀게시판,팀 관리,팀 생성,"학생, 교직원, 관리자","- 이름, 설명, 이미지로 팀을 생성할 수 있음.
- 생성자는 자동으로 LEADER 역할 부여.","- 팀 이름, 설명, 이미지 URL",-,- 이름 50자 초과 시 오류 반환.,,완료,
TBD-012,팀게시판,팀 관리,팀 조회,"게스트, 학생, 교직원, 관리자",- 전체 팀 목록 및 단건 상세(멤버 포함) 조회. 검색 필터 지원.,-,- 팀 목록 / 팀 상세 정보,- 존재하지 않는 팀 조회 시 오류 반환.,,완료,
TBD-013,팀게시판,팀 관리,팀 수정·삭제,"학생, 교직원, 관리자",- 팀 리더만 팀 정보 수정 및 삭제 가능.,"- 팀 이름, 설명, 이미지 URL",-,- 팀 리더 외 수정·삭제 시 권한 부족 처리.,,완료,
TBD-014,팀게시판,팀 초대,팀 초대 발송,"학생, 교직원, 관리자","- 특정 사용자에게 팀 초대 링크 발송.
- 초대 만료 시간 설정.",- 초대 대상 사용자 ID,-,"- 이미 초대된 사용자 재초대 시 오류 반환.
- 이미 팀원인 경우 오류 반환.",,완료,
TBD-015,팀게시판,팀 초대,팀 초대 수락·거절,"학생, 교직원, 관리자","- 수신된 팀 초대를 수락하거나 거절.
- 수락 시 자동으로 팀 멤버 등록.",- 초대 ID,-,- 초대 만료 시 오류 반환.,,완료,
TBD-016,팀게시판,팀 멤버,팀 멤버 강퇴,"학생, 교직원, 관리자",- 팀 리더가 특정 멤버를 강퇴할 수 있음.,"- 팀 ID, 사용자 ID",-,"- 팀 리더 외 강퇴 시 권한 부족 처리.
- 존재하지 않는 멤버 강퇴 시 오류 반환.",,완료,
GIT-001,깃허브,통계,플랫폼 전체 통계 조회,"게스트, 학생, 교직원, 관리자","- 전체 사용자 수, 커밋 수, PR 수, 상위 기여자 통계 조회.",-,- 플랫폼 통계 정보,-,,완료,
GIT-002,깃허브,통계,사용자 깃허브 통계 조회,"게스트, 학생, 교직원, 관리자","- 특정 사용자의 최근 활동, 전체 기여 이력, 점수, 기여도 비교 조회.",- userId,- 사용자 깃허브 통계,- GitHub 미연동 사용자 조회 시 오류 반환.,,완료,
GIT-003,깃허브,랭킹,깃허브 기여 랭킹 조회,"게스트, 학생, 교직원, 관리자",- 기여도 기반 전체 랭킹 페이징 조회 및 본인 순위 조회.,-,- 랭킹 목록 / 내 순위,- GitHub 미연동 시 내 순위 조회 불가.,,완료,
SNS-001,시즌 랭킹,랭킹,시즌 랭킹 조회,"게스트, 학생, 교직원, 관리자",- 현재 또는 특정 시즌의 점수 기반 전체 랭킹 조회.,- seasonId (선택),- 시즌 랭킹 목록,- 존재하지 않는 시즌 조회 시 오류 반환.,,완료,
SNS-002,시즌 랭킹,랭킹,내 시즌 랭킹 조회,"학생, 교직원, 관리자","- 현재 또는 특정 시즌에서 본인의 순위, 점수, 티어 조회.",- seasonId (선택),- 내 시즌 랭킹,-,,완료,
TTL-001,칭호,칭호 조회,사용자 칭호 목록 조회,"게스트, 학생, 교직원, 관리자","- 본인 또는 타 사용자가 보유한 칭호 목록 조회.
- 희귀도, 카테고리, 획득일 포함.",- userId (선택),- 칭호 목록,-,,완료,
TTL-002,칭호,칭호 설정,대표 칭호 설정,"학생, 교직원, 관리자",- 보유 칭호 중 하나를 대표 칭호로 설정.,- userTitleId,-,"- 본인 칭호 아닌 경우 권한 오류 반환.
- 보유하지 않은 칭호 설정 시 오류 반환.",,완료,
NTF-001,알림,실시간 알림,실시간 알림 구독 (SSE),"학생, 교직원, 관리자",- SSE(Server-Sent Events)로 실시간 알림 스트림 구독.,- (인증 토큰),- SSE 스트림,- 인증 없을 시 연결 거부.,,완료,
NTF-002,알림,알림 목록,알림 목록 조회,"학생, 교직원, 관리자",- 본인 알림 목록 페이징 조회. 미읽음 수 포함.,-,- 알림 목록,-,,완료,
NTF-003,알림,알림 읽음,알림 읽음·삭제 처리,"학생, 교직원, 관리자","- 특정 알림 또는 전체 알림 읽음 처리.
- 특정 알림 또는 전체 알림 삭제 가능.",- notificationId (선택),-,- 본인 알림 아닌 경우 권한 오류 반환.,,완료,
SCH-001,검색,전역 검색,통합 검색,"게스트, 학생, 교직원, 관리자","- 검색어로 게시글, 사용자, 레포지토리 통합 검색.
- 필터(전체/게시글/사용자/레포지토리) 지원.","- 검색어, 필터",- 통합 검색 결과,- 검색어 공백 시 오류 반환.,,완료,
UPL-001,업로드,파일 업로드,Presigned URL 발급,"학생, 교직원, 관리자","- S3 Presigned URL 발급.
- 파일명, Content-Type 기반으로 업로드 URL 생성.","- 파일명, Content-Type","- 업로드 URL, 키, 만료 시간",- 허용되지 않는 파일 형식 요청 시 오류 반환.,,완료,
ADM-001,관리자,사용자,사용자 정보 변경,관리자,"- 사용자의 정보(이름, Github 연동정보, 이메일 등)를 수정할 수 있음.",- 사용자 정보,-,"- 오류 발생 시 서버 내부 오류 반환.
- 작성한 내용이 조건에 부합하지 않는 경우 오류 반영.",,완료,
ADM-002,관리자,사용자,사용자 삭제,관리자,- 사용자를 삭제할 수 있음.,- 사용자 정보,-,- 관리자의 데이터가 영속성이어서 처리 불가 시 오류 반환.,,완료,
ADM-003,관리자,챌린지,챌린지 추가,관리자,- 챌린지(도전과제)를 추가할 수 있음.,- 챌린지 조건 및 정보,-,- 작성한 챌린지 내용 테스트 중 오류 발생시 서버에서 저장 후 사용자에게 미노출.,,완료,
ADM-004,관리자,챌린지,챌린지 삭제,관리자,- 챌린지(도전과제)를 삭제할 수 있음.,- 챌린지 정보,-,- 어떠한 이유로 삭제 불가능 할 시 서버 오류 반환.,,완료,
ADM-005,관리자,챌린지,챌린지 수정,관리자,- 챌린지(도전과제)를 수정할 수 있음.,- 챌린지 조건 및 정보,-,- 챌린지 조건 수정이 불가능 할 경우 챌린지 삭제 후 재생성 권유.,,완료,
ADM-006,관리자,게시글,게시글 삭제,관리자,"- 작성된 게시글을 삭제할 수 있음. (공고 포함)
- 댓글 강제 삭제 가능.",- 게시글 정보,-,- 게시글 삭제가 불가능 할 경우 프론트 단에서 관련 권한 처리.,,완료,
ADM-007,관리자,게시글,공지 작성,관리자,"- 홈페이지 공지사항을 작성할 수 있음.
- 최대 n개의 공지를 작성할 수 있으며, 홈 화면은 공지가 슬라이드 되어 보여짐.
- 게시판은 최대 n'개의 공지들을 작성할 수 있으며, 쌓여서 페이지 보여짐.
- 게시를 원하는 페이지 지정 가능","- 공지 내용, 범위","- 조건에 따라 Header 위, 게시판 상단 노출",- 내부 시스템 조건에 미충족 시 사유 반환.,,완료,
ADM-008,관리자,게시글,공지 삭제,관리자,- 홈페이지 공지사항을 삭제할 수 있음.,- 공지 정보,-,- 서버 내부 오류 발생 시 로그 기록.,,완료,
ADM-009,관리자,신고,신고 처리,관리자,"- 신고가 들어온 모든 것들을 처리할 수 있음.
- 게시글 신고건은 블라인드/삭제/일부 수정을 진행할 수 있음.
- 사용자 신고건은 임시로 임시 차단/계정 삭제를 진행할 수 있음.
- 이외 신고 건에 대하여 알맞은 수행을 진행할 수 있음.",- 정보,-,- 신고 처리 중 오류 발생 시 서버 내부 로그 기록.,,완료,
ADM-010,관리자,점검,접근 제한,관리자,"- 사이트 접근을 임시로 제한할 수 있음.
- 점검으로 인해 접근 불가 시 관리자 페이지를 제외한 모든 페이지 접근 차단.
- 일부 페이지 접근 차단.",- 페이지 정보,- 접근 시 관리자를 제외한 나머지 사용자의 요청을 모두 차단,-,,대기중,
ADM-011,관리자,역할 관리,역할(Role) CRUD,관리자,"- 역할 목록 조회, 생성, 수정, 삭제.
- 역할에 정책(Policy) 할당 및 제거 가능.","- 역할명, 설명",- 역할 목록,- 중복 역할명 생성 시 오류 반환.,,완료,
ADM-012,관리자,정책 관리,정책(Policy) CRUD,관리자,"- 정책 목록 조회, 생성, 수정, 삭제.
- 정책에 권한(Permission) 할당 및 제거 가능.","- 정책명, 설명",- 정책 목록,-,,완료,
ADM-013,관리자,포인트,포인트 수동 지급·차감,관리자,- 특정 사용자에게 포인트 수동 조정 및 이력 기록.,"- 사용자 ID, 포인트 수량, 유형",-,- 포인트 부족 시 차감 불가 오류 반환.,,완료,
ADM-014,관리자,칭호 관리,칭호 수동 부여·회수,관리자,"- 특정 사용자에게 칭호 수동 부여 또는 회수.
- 사유 입력 필수. 배치 로그 기록.","- 사용자 ID, 칭호 ID, 사유",-,"- 이미 보유한 칭호 재부여 시 오류 반환.
- 미보유 칭호 회수 시 오류 반환.",,완료,
ADM-015,관리자,시즌 관리,시즌 프로젝트 관리,관리자,"- 시즌 프로젝트 목록 조회, 생성, 종료.
- 시즌 프로젝트에 멤버 추가 가능.","- 시즌 ID, 프로젝트 정보",- 프로젝트 목록,-,,완료,
ADM-016,관리자,배너 관리,배너 설정 관리,관리자,- 메인 배너 설정 목록 조회 및 활성화/비활성화 토글.,-,- 배너 설정 정보,- 배너 없을 시 오류 반환.,,완료,
ADM-017,관리자,연락처 관리,연락처 수정,관리자,"- 사이트 노출용 연락처(이름, 이메일, 전화, 주소) 수정.","- 이름, 이메일, 전화, 주소",-,-,,완료,
ADM-018,관리자,사용자,GitHub 수집 트리거,관리자,- 특정 사용자 또는 전체 사용자의 GitHub 데이터 수집 수동 실행.,- 사용자 ID (선택),-,- GitHub 미연동 사용자 지정 시 오류 반환.,,완료,
